87,"GRUPO LINSA, S.A.",,,,,,,,0
88,"GRUPO LOGISA, S.A. DE C.V.",,,,,,,,0
89,"GRUPO PRYAMO, S.A. DE C.V.",,,,,,,,0
90,"GUAYCO, S.A. DE C.V.",,,,,,,,0
91,"H.F. DIVISION INFORMATICA, S.A. DE C.V.",,,,,,,,0
92,"IBARRA CORTE Y DOBLEZ DE LAMINA, S.A. DE C.V.",,,,,,,,0
93,ICSI INGENIERIA Y CONTROL DE SISTEMAS DE,,,,,,,,0
94,"IMPACTO TECNOLOGICO, S.A. DE C.V.",,,,,,,,0
95,"INDUSTRIAS SOLA BASIC, S.A. DE C.V.",,,,,,,,0
96,"INFORMATICA APLICADA Y SUMINISTROS, S.A.",,,,,,,,0
97,INSTITUTO LATINOAMERICANO DE LA COMUNICACIÓN EDUCATIVA,,,,,,,,0
98,"INTEGRADORES DE TECNOLOGIA, S.A. DE C.V.",,,,,,,,0
99,JORGE HERNANDEZ Y THOME,,,,,,,,0
100,"MACRO CHEVROLET, S.A. DE C.V.",,,,,,,,0
101,"MADERAS PERFILADAS, S.A. DE C.V.",,,,,,,,0
102,"MAINBIT, S.A. DE C.V.",,,,,,,,0
103,MANTENIMIENTO Y ESTETICA AUTOMOTRIZ,,,,,,,,0
104,"MANUEL NOGUEIRA, S.A.",,,,,,,,0
105,MANUEL RIVERA FLORES,,,,,,,,0
106,"MAQUINADO DE MADERAS DIANA, S.A. DE C.V.",,,,,,,,0
107,"MAQUINARIA INFORMATICA Y TECNOLOGIA AVANZADA, S.A. DE C.V.",,,,,,,,0
108,MARC MANTENIMIENTO Y ESTETICA AUTOMOTRIZ,,,,,,,,0
109,"MERCANTIL TUXPAM, S.A. DE C.V.",,,,,,,,0
110,"METALICOS ""CORDOBA""",,,,,,,,0
111,MG OFIMUEBLES,,,,,,,,0
112,MILY CHAGRA S.A DE C.V.,,,,,,,,0
113,"MORALES HERMANOS DISTRIBUIDORES, S.A. DE",,,,,,,,0
114,"MOTO DIEZ COATZACOALCOS, S.A. DE C.V.",,,,,,,,0
115,MOTOS JAPONESAS DE XALAPA S.A. DE C.V.,,,,,,,,0
116,"MS INOVACIONES,S.A. DE C.V.",,,,,,,,0
117,"MUEBLES ALEANT, S.A. DE C.V.",,,,,,,,0
118,"MUEBLES DE OFICINA BADEN BADEN, S.A. DE C.V.",,,,,,,,0
119,TERESA LEON FLORES,,,,,,,,0
120,"MULTI-DISEÑO, S.A. DE C.V",,,,,,,,0
121,MULTISISTEMAS DE XALAPA,,,,,,,,0
122,"MUSICAL ""ANAYA""",,,,,,,,0
123,MUSICAL SINFONIA,,,,,,,,0
124,"NACIONAL FINANCIERA, S.N.C.",,,,,,,,0
125,"NISHI, S.A. DE C.V.",,,,,,,,0
126,"OFIPAP, S.A. DE C.V.",,,,,,,,0
127,"OFIX, S.A. DE C.V.",,,,,,,,0
128,"OLYMPIA DE MEXICO, S.A. DE C.V.",,,,,,,,0
129,"OPTEC SISTEMAS, S.A. DE C.V.",,,,,,,,0
130,OSCAR HERMILO CARPINTERO FERTO,,,,,,,,0
131,OSCAR HERMILO CARPINTERO FERTO,,,,,,,,0
132,"PAPELERIA ANZURES, S.A. DE C.V.",,,,,,,,0
133,"PRODUCTOS METALICOS STEELE, S.A. DE C.V.",,,,,,,,0
134,"PONTEVEDRA, S.A. DE C.V.",,,,,,,,0
135,"PRECISION CONTROL COMERCIAL, S.A. DE C.V",,,,,,,,0
136,"PROAIRE DEL CENTRO, S.A.",,,,,,,,0
137,"PROINDEQ, S.A. DE C.V.",,,,,,,,0
138,"PRODUCTOS METALICOS STEELE, S.A. DE C.V.",,,,,,,,0
139,PROVEEDORA DE OFICINAS DE XALAPA,,,,,,,,0
140,PROVEEDORA TOGO S.A. DE C.V.,,,,,,,,0
141,PROYECCION Y DISEÑO S.A. DE C.V.,,,,,,,,0
142,"PURE, S.A. DE C.V.",,,,,,,,0
143,"REFACCIONES MARTIN, S.A. DE C.V.",,,,,,,,0
144,SABINO SALAZAR GOMEZ,,,,,,,,0
145,"SANCHEZ AUTOMOTRIZ, S.A. DE C.V.",,,,,,,,0
146,SECRETARIAL DEL GOLFO-3A,,,,,,,,0
147,"SERMANHO, S. DE R.L. DE C.V.",,,,,,,,0
148,SERVICIOS ESPECIALES DE VENTAS AUTOMOTRI,,,,,,,,0
149,SERVICIOS FOTOGRAFICOS VIALY S.A. DE C.V,,,,,,,,0
150,SERVICIO Y REFACCIONES PARA AIRE ACONDICIONADO S.A. DE C.V.,,,,,,,,0
151,"SEYVE, S.A. DE C.V.",,,,,,,,0
152,"SHINYU AUTOMOTRIZ, S.A. DE C.V.",,,,,,,,0
153,"SISTEMAS AVANZADOS EN COMPUTO, S.A. DE C",,,,,,,,0
154,"SISTEMAS CONTINO, S.A. DE C.V.",,,,,,,,0
155,"SISTEMAS Y EQUIPOS COMPUTACIONALES, S.A.",,,,,,,,0
156,"SOFTWARE Y ELECTRONICA DE XALAPA, S.A. DE C.V.",,,,,,,,0
157,"SOLUCIONES Y REPRESENTACIONES DE COMPUTO, S.A. DE C.V.",,,,,,,,0
158,"SUMINISTROS LARY, S.A. DE C.V.",,,,,,,,0
159,SURTIDORA DEL HOGAR,,,,,,,,0
160,"TECNILASER, S.A DE C.V.",,,,,,,,0
161,"TECNO SEDIE, S.A. DE C.V.",,,,,,,,0
162,"TECNOLOGIA EN CONECTIVIDAD INTEGRAL, S.A",,,,,,,,0
163,"TECTO ROBLES DE MEXICO, S.A. DE C.V.",,,,,,,,0
164,"TED TECNOLOGIA EDITORIAL, S.A. DE C.V.",,,,,,,,0
165,TELEFONIA DIGITAL ESPECIALIZADA,,,,,,,,0
166,TELEFONOS DE MEXICO S.A.,,,,,,,,0
167,CLEMENTINA RAMOS MIJANGOS,,,,,,,,0
168,"THE ANGLO MEXICAN MOTOR CO, S.A. DE C.V.",,,,,,,,0
169,"TIENDAS CHEDRAHUI, S.A. DE C.V.",,,,,,,,0
170,"TLALPAN MOTORS, S.A. DE C.V.",,,,,,,,0
171,"TREVIÑO COMPUTACION, S.A. DE C.V.",,,,,,,,0
172,"WOODS MUEBLES PARA OFICINA, S.A. DE C.V.",,,,,,,,0
173,"XEROGRAFIA DEL SURESTE, S.A. DE C.V.",,,,,,,,0
174,"XEROX MEXICANA, S.A. DE C.V.",,,,,,,,0
175,"INF. INTEGRAL ADMINISTRATIVA, S.A. DE C.V.",,,,,,,,0
176,REDES.COM. S.A. DE C.V.,,,,,,,,0
501,"AUTOMOTRIZ DE TUXPAM, S.A. DE C.V.",,,,,,,,0
502,BORBOLLA FABRICACION DE MUEBLES MODULARE,,,,,,,,0
